MasterTable_ID,Alias,Latitude,Longitude,Date/Time/GMT,Start Date/Time (GMT),COncRT,ConcHr,Flow,W/S,W/D,AT,RHx,RHi,BV,FT,Alarm,Type,Serial Number,Version,Sys. Volts,TimeStamp,PDate
58179201,1026 Kernville EBAM,35.7551,-118.4175,1/1/2019 12:00:00 AM,NA,0.017,0.019,16.7,1.9,194,11.3,33,19,13.6,18.1,0,PM 10,NA,NA,13.46,1/1/2019 12:04:19 AM,1/1/2019 12:05:00 AM
58179530,1026 Kernville EBAM,35.7551,-118.4175,1/1/2019 1:00:00 AM,NA,0.026,0.03,16.6,2.1,160,7.2,53,28,13.7,13.2,0,PM 10,NA,NA,13.46,1/1/2019 1:04:19 AM,1/1/2019 1:07:00 AM
58179852,1026 Kernville EBAM,35.7551,-118.4175,1/1/2019 2:00:00 AM,NA,0.02,0.019,16.7,1.5,151,4.9,63,34,13.6,10,0,PM 10,NA,NA,13.46,1/1/2019 2:04:19 AM,1/1/2019 2:08:00 AM
58180230,1026 Kernville EBAM,35.7551,-118.4175,1/1/2019 3:00:00 AM,NA,0.025,0.023,16.7,0.9,208,3.9,64,34,13.6,9.2,0,PM 10,NA,NA,13.46,1/1/2019 3:04:20 AM,1/1/2019 3:05:00 AM
58180591,1026 Kernville EBAM,35.7551,-118.4175,1/1/2019 4:00:00 AM,NA,0.016,0.008,16.7,0.5,53,1.8,71,35,13.5,8.2,0,PM 10,NA,NA,13.46,1/1/2019 4:04:21 AM,1/1/2019 4:05:00 AM
58180896,1026 Kernville EBAM,35.7551,-118.4175,1/1/2019 5:00:00 AM,NA,0.036,0.054,16.7,0.6,41,0.3,73,35,13.5,7.4,0,PM 10,NA,NA,13.46,1/1/2019 5:04:22 AM,1/1/2019 5:07:00 AM
58181182,1026 Kernville EBAM,35.7551,-118.4175,1/1/2019 6:00:00 AM,NA,0.04,0.026,16.7,0.7,25,-0.5,73,35,13.4,6.6,0,PM 10,NA,NA,13.46,1/1/2019 6:04:23 AM,1/1/2019 6:09:00 AM
58181559,1026 Kernville EBAM,35.7551,-118.4175,1/1/2019 7:00:00 AM,NA,0.047,0.051,16.7,0.5,43,-1.5,72,34,13.6,5.5,0,PM 10,NA,NA,13.46,1/1/2019 7:04:24 AM,1/1/2019 7:05:00 AM
58181923,1026 Kernville EBAM,35.7551,-118.4175,1/1/2019 8:00:00 AM,NA,0.024,0.024,16.7,0.5,41,-2.1,70,34,13.5,4.4,0,PM 10,NA,NA,13.46,1/1/2019 8:04:25 AM,1/1/2019 8:05:00 AM
58182249,1026 Kernville EBAM,35.7551,-118.4175,1/1/2019 9:00:00 AM,NA,-0,-0.001,16.7,0.8,38,-1.8,65,34,13.6,3.6,0,PM 10,NA,NA,13.46,1/1/2019 9:04:26 AM,1/1/2019 9:07:00 AM
